"","GEOID","NAME","med_rentE","med_rentM","no_bedE","no_bedM","one_bedE","one_bedM","med_rent_percE","med_rent_percM","two_bedE","two_bedM","three_bedE","three_bedM","four_bedE","four_bedM","five_bedE","five_bedM"
"120","10005050401","Census Tract 504.01, Sussex County, Delaware",NA,NA,NA,NA,NA,NA,25.7,13,355,333,966,116,NA,NA,NA,NA
"121","10005050601","Census Tract 506.01, Sussex County, Delaware",743,343,NA,NA,NA,NA,19.4,6.5,NA,NA,725,269,NA,NA,NA,NA
"122","10005050301","Census Tract 503.01, Sussex County, Delaware",710,122,881,299,375,212,25.9,6.1,714,91,819,237,NA,NA,NA,NA
"123","10005050501","Census Tract 505.01, Sussex County, Delaware",973,69,NA,NA,856,14,27.8,12.3,1019,91,NA,NA,1108,714,NA,NA
"124","10005051303","Census Tract 513.03, Sussex County, Delaware",1428,133,NA,NA,NA,NA,30.2,11.5,1318,243,1434,190,1630,685,NA,NA
"125","10005050403","Census Tract 504.03, Sussex County, Delaware",968,154,NA,NA,767,300,30.5,4.8,781,524,1102,74,NA,NA,NA,NA
"126","10005050803","Census Tract 508.03, Sussex County, Delaware",1390,39,NA,NA,NA,NA,25.6,29.9,1426,270,NA,NA,NA,NA,NA,NA
"127","10005051500","Census Tract 515, Sussex County, Delaware",1114,74,NA,NA,918,76,24.8,16.4,1009,139,1147,84,1569,256,NA,NA
"128","10003016401","Census Tract 164.01, New Castle County, Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","10003013612","Census Tract 136.12, New Castle County, Delaware",1779,116,NA,NA,NA,NA,24.5,22.9,1691,170,1867,281,NA,NA,NA,NA
"130","10003014502","Census Tract 145.02, New Castle County, Delaware",1437,137,NA,NA,917,139,51,NA,1403,92,1966,718,2457,1050,NA,NA
"131","10003014703","Census Tract 147.03, New Castle County, Delaware",1223,104,1289,212,997,106,28.1,7.3,1213,104,1415,156,1664,202,NA,NA
"132","10003015100","Census Tract 151, New Castle County, Delaware",1024,106,NA,NA,860,29,23.7,3,1065,99,1047,153,NA,NA,NA,NA
"133","10003016000","Census Tract 160, New Castle County, Delaware",910,112,NA,NA,770,17,31.9,3.2,918,96,950,17,NA,NA,NA,NA
"134","10003000400","Census Tract 4, New Castle County, Delaware",746,126,NA,NA,652,398,31,5.4,919,117,1403,194,NA,NA,NA,NA
"135","10003001300","Census Tract 13, New Castle County, Delaware",1293,269,935,65,928,172,18.9,2.2,1329,239,1936,206,NA,NA,NA,NA
"136","10003002600","Census Tract 26, New Castle County, Delaware",1110,47,NA,NA,938,386,36.7,10.1,934,202,1155,43,1452,220,1391,1122
"137","10003010200","Census Tract 102, New Castle County, Delaware",1578,579,NA,NA,NA,NA,19,39.8,NA,NA,NA,NA,1638,393,NA,NA
"138","10003010300","Census Tract 103, New Castle County, Delaware",1510,421,NA,NA,NA,NA,23.1,2,1726,43,1125,390,NA,NA,NA,NA
"139","10005050504","Census Tract 505.04, Sussex County, Delaware",868,148,NA,NA,836,164,26.4,9.2,617,232,1036,529,NA,NA,NA,NA
