"","GEOID","NAME","rent_30_10kE","rent_30_10kM","rent_35_10kE","rent_35_10kM","rent_40_10kE","rent_40_10kM","rent_50_10kE","rent_50_10kM","rent_30_20kE","rent_30_20kM","rent_35_20kE","rent_35_20kM","rent_40_20kE","rent_40_20kM","rent_50_20kE","rent_50_20kM","rent_30_35kE","rent_30_35kM","rent_35_35kE","rent_35_35kM","rent_40_35kE","rent_40_35kM","rent_50_35kE","rent_50_35kM","rent_30_50kE","rent_30_50kM","rent_35_50kE","rent_35_50kM","rent_40_50kE","rent_40_50kM","rent_50_50kE","rent_50_50kM","rent_30_75kE","rent_30_75kM","rent_35_75kE","rent_35_75kM","rent_40_75kE","rent_40_75kM","rent_50_75kE","rent_50_75kM"
"40","10003014000","Census Tract 140, New Castle County, Delaware",0,17,0,17,0,17,52,50,0,17,0,17,0,17,175,109,64,80,0,17,190,97,13,22,88,90,11,18,0,17,0,17,0,17,0,17,0,17,0,17
"41","10003014100","Census Tract 141, New Castle County, Delaware",0,12,0,12,8,13,0,12,0,12,0,12,7,11,26,37,0,12,8,12,35,49,14,22,0,12,8,13,0,12,0,12,10,17,8,13,35,50,0,12
"42","10003014403","Census Tract 144.03, New Castle County, Delaware",9,14,0,17,0,17,63,43,0,17,18,30,0,17,122,107,0,17,24,33,89,62,106,101,0,17,9,14,14,22,13,20,42,47,0,17,6,10,0,17
"43","10003014803","Census Tract 148.03, New Castle County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,18,17,20,0,12,44,50,16,18,16,18,0,12,14,20,0,12,7,13,0,12,0,12,0,12
"44","10003015000","Census Tract 150, New Castle County, Delaware",0,17,0,17,0,17,45,57,0,17,0,17,0,17,63,74,10,17,33,50,62,68,60,48,0,17,0,17,0,17,0,17,14,47,0,17,0,17,0,17
"45","10003015900","Census Tract 159, New Castle County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,21,61,57,0,12,0,12,0,12,0,12,45,58,0,12,0,12
"46","10005050405","Census Tract 504.05, Sussex County, Delaware",0,12,0,12,0,12,9,16,0,12,0,12,10,17,44,50,0,12,10,16,4,12,11,17,55,70,44,61,0,12,0,12,4,13,0,12,0,12,0,12
"47","10005050406","Census Tract 504.06, Sussex County, Delaware",0,17,32,40,10,16,84,75,7,12,23,38,130,109,52,64,0,17,32,49,8,12,76,78,0,17,0,17,0,17,0,17,0,17,7,12,17,18,0,17
"48","10005050407","Census Tract 504.07, Sussex County, Delaware",0,17,0,17,0,17,0,17,0,17,0,17,0,17,35,40,0,17,0,17,59,42,42,29,42,41,21,24,6,10,0,17,0,17,9,13,0,17,0,17
"49","10005050408","Census Tract 504.08, Sussex County, Delaware",0,12,0,12,0,12,10,15,0,12,0,12,0,12,58,57,0,12,0,12,0,12,18,19,36,41,10,16,0,12,10,15,0,12,0,12,0,12,0,12
